Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
b1_113,Loan__application_received,,2004-02-11 10:30:00.000,Variant 1,1
b1_113,Check__application__form_completeness,,2004-02-11 10:55:28.917,Variant 1,1
b1_113,Appraise_property,,2004-02-11 10:58:18.693,Variant 1,1
b1_113,Check_credit_history,,2004-02-11 11:12:06.935,Variant 1,1
b1_113,Assess_loan_risk,,2004-02-11 12:22:58.531,Variant 1,1
b1_113,Assess_eligibility,,2004-02-11 12:30:07.055,Variant 1,1
b1_113,Reject_application,,2004-02-11 12:36:39.125,Variant 1,1
b1_113,Loan_application_rejected,,2004-02-11 12:36:39.125,Variant 1,1
b1_12,Loan__application_received,,2004-02-02 16:00:00.000,Variant 8,8
b1_12,Check__application__form_completeness,,2004-02-02 16:13:41.152,Variant 8,8
b1_12,Check_credit_history,,2004-02-02 16:16:23.615,Variant 8,8
b1_12,Assess_loan_risk,,2004-02-02 16:25:12.650,Variant 8,8
b1_12,Appraise_property,,2004-02-02 16:38:51.963,Variant 8,8
b1_12,Assess_eligibility,,2004-02-02 16:42:38.074,Variant 8,8
b1_12,Prepare_acceptance_pack,,2004-02-02 17:03:52.692,Variant 8,8
b1_12,Check_if_home_insurance_quote_is_requested,,2004-02-02 17:42:27.713,Variant 8,8
b1_12,Send_home_insurance_quote,,2004-02-03 10:04:03.476,Variant 8,8
b1_12,Verify_repayment_agreement,,2004-02-03 10:21:40.358,Variant 8,8
b1_12,Cancel_application,,2004-02-03 10:26:42.145,Variant 8,8
b1_12,Loan__application_canceled,,2004-02-03 10:26:42.145,Variant 8,8
b1_84,Loan__application_received,,2004-02-09 12:00:00.000,Variant 3,3
b1_84,Check__application__form_completeness,,2004-02-09 12:13:39.532,Variant 3,3
b1_84,Check_credit_history,,2004-02-09 12:21:56.198,Variant 3,3
b1_84,Assess_loan_risk,,2004-02-09 12:35:44.837,Variant 3,3
b1_84,Appraise_property,,2004-02-09 12:45:24.782,Variant 3,3
b1_84,Assess_eligibility,,2004-02-09 12:45:55.687,Variant 3,3
b1_84,Reject_application,,2004-02-09 13:33:34.537,Variant 3,3
b1_84,Loan_application_rejected,,2004-02-09 13:33:34.537,Variant 3,3
b1_154,Loan__application_received,,2004-02-13 15:00:00.000,Variant 2,2
b1_154,Check__application__form_completeness,,2004-02-13 15:14:55.658,Variant 2,2
b1_154,Check_credit_history,,2004-02-13 15:23:26.659,Variant 2,2
b1_154,Appraise_property,,2004-02-13 15:37:22.817,Variant 2,2
b1_154,Assess_loan_risk,,2004-02-13 15:44:52.171,Variant 2,2
b1_154,Assess_eligibility,,2004-02-13 16:59:34.429,Variant 2,2
b1_154,Reject_application,,2004-02-13 17:21:12.993,Variant 2,2
b1_154,Loan_application_rejected,,2004-02-13 17:21:12.993,Variant 2,2
b1_2,Loan__application_received,,2004-02-02 11:00:00.000,Variant 4,4
b1_2,Check__application__form_completeness,,2004-02-02 11:21:05.546,Variant 4,4
b1_2,Appraise_property,,2004-02-02 11:35:44.797,Variant 4,4
b1_2,Check_credit_history,,2004-02-02 12:06:32.315,Variant 4,4
b1_2,Assess_loan_risk,,2004-02-02 12:38:06.744,Variant 4,4
b1_2,Assess_eligibility,,2004-02-02 13:07:09.882,Variant 4,4
b1_2,Prepare_acceptance_pack,,2004-02-02 14:19:34.021,Variant 4,4
b1_2,Check_if_home_insurance_quote_is_requested,,2004-02-02 14:30:36.119,Variant 4,4
b1_2,Send_acceptance_pack,,2004-02-02 15:20:16.154,Variant 4,4
b1_2,Verify_repayment_agreement,,2004-02-02 15:22:23.357,Variant 4,4
b1_2,Cancel_application,,2004-02-02 16:22:47.761,Variant 4,4
b1_2,Loan__application_canceled,,2004-02-02 16:22:47.761,Variant 4,4
b1_249,Loan__application_received,,2004-02-23 14:30:00.000,Variant 1,1
b1_249,Check__application__form_completeness,,2004-02-23 15:54:30.763,Variant 1,1
b1_249,Appraise_property,,2004-02-23 15:56:47.805,Variant 1,1
b1_249,Check_credit_history,,2004-02-23 15:56:59.590,Variant 1,1
b1_249,Assess_loan_risk,,2004-02-23 16:06:27.177,Variant 1,1
b1_249,Assess_eligibility,,2004-02-23 16:19:06.999,Variant 1,1
b1_249,Reject_application,,2004-02-23 17:08:08.447,Variant 1,1
b1_249,Loan_application_rejected,,2004-02-23 17:08:08.447,Variant 1,1
b1_341,Loan__application_received,,2004-03-02 12:30:00.000,Variant 1,1
b1_341,Check__application__form_completeness,,2004-03-02 13:09:21.822,Variant 1,1
b1_341,Appraise_property,,2004-03-02 13:16:38.461,Variant 1,1
b1_341,Check_credit_history,,2004-03-02 13:36:56.566,Variant 1,1
b1_341,Assess_loan_risk,,2004-03-02 14:16:04.979,Variant 1,1
b1_341,Assess_eligibility,,2004-03-02 14:32:00.337,Variant 1,1
b1_341,Reject_application,,2004-03-02 14:49:58.273,Variant 1,1
b1_341,Loan_application_rejected,,2004-03-02 14:49:58.273,Variant 1,1
b1_427,Loan__application_received,,2004-03-09 15:30:00.000,Variant 10,10
b1_427,Check__application__form_completeness,,2004-03-09 16:07:26.736,Variant 10,10
b1_427,Check_credit_history,,2004-03-09 16:12:25.921,Variant 10,10
b1_427,Appraise_property,,2004-03-09 16:16:57.275,Variant 10,10
b1_427,Assess_loan_risk,,2004-03-09 16:45:26.300,Variant 10,10
b1_427,Assess_eligibility,,2004-03-09 17:23:27.958,Variant 10,10
b1_427,Prepare_acceptance_pack,,2004-03-10 10:18:53.593,Variant 10,10
b1_427,Check_if_home_insurance_quote_is_requested,,2004-03-10 10:57:47.522,Variant 10,10
b1_427,Send_acceptance_pack,,2004-03-10 11:27:17.826,Variant 10,10
b1_427,Verify_repayment_agreement,,2004-03-10 12:15:19.399,Variant 10,10
b1_427,Cancel_application,,2004-03-10 12:18:07.803,Variant 10,10
b1_427,Loan__application_canceled,,2004-03-10 12:18:07.803,Variant 10,10
b1_478,Loan__application_received,,2004-03-12 17:00:00.000,Variant 2,2
b1_478,Check__application__form_completeness,,2004-03-12 17:17:20.098,Variant 2,2
