Dataset,Classifier,Window size,Frequency of drop,Total drops per Month,Average recovery speed,Normalized recovery speed,Max performance drop,Average performance drop,Stability performance drop
bpic15,efdt,50,535,0.18,29.72222222222222,0.59,0.045,0.013,0.007582851901982399
bpic15,hatc,200,446,0.15,27.875,0.14,0.077,0.013,0.021535824991826116
bpic15,htc,200,483,0.16,80.5,0.4,0.07,0.036,0.023145886819189988
bpic15,hatc,50,430,0.15,30.714285714285715,0.61,0.045,0.014,0.007546978569869298
bpic15,htc,50,557,0.19,39.785714285714285,0.8,0.045,0.013,0.007970215583579895
bpic15,efdt,200,467,0.16,93.4,0.47,0.069,0.039,0.023077349964711245
bpic17,hatc,50,731,3.25,15.229166666666666,0.3,0.238,0.042,0.04385288564027797
bpic17,efdt,200,524,2.33,26.2,0.13,0.238,0.064,0.06971751317094582
bpic17,hatc,200,525,2.33,20.192307692307693,0.1,0.238,0.051,0.07850448855992546
bpic17,htc,200,540,2.4,27.0,0.14,0.238,0.074,0.10318636536728316
bpic17,efdt,50,746,3.31,16.954545454545453,0.34,0.238,0.045,0.04130891462973309
bpic17,htc,50,723,3.21,16.813953488372093,0.34,0.238,0.051,0.05190750611567988
synthetic_log_b,efdt,50,167,3.19,9.823529411764707,0.2,0.364,0.048,0.05106041157770367
synthetic_log_b,efdt,200,102,1.95,7.285714285714286,0.04,0.364,0.055,0.10328089723303943
synthetic_log_b,hatc,50,182,3.48,9.578947368421053,0.19,0.364,0.048,0.04615833169063242
synthetic_log_b,htc,50,180,3.44,9.0,0.18,0.364,0.044,0.04471601261607881
synthetic_log_b,htc,200,72,1.38,12.0,0.06,0.364,0.11,0.07813820713955892
synthetic_log_b,hatc,200,68,1.3,17.0,0.08,0.364,0.165,0.08036864913359115
synthetic_log_bc1,htc,50,534,3.8,12.136363636363637,0.24,0.364,0.034,0.03800280584240289
synthetic_log_bc1,efdt,200,332,2.36,11.066666666666666,0.06,0.364,0.042,0.07347454559789617
synthetic_log_bc1,hatc,200,287,2.04,9.89655172413793,0.05,0.364,0.042,0.05810692928225256
synthetic_log_bc1,hatc,50,488,3.47,9.959183673469388,0.2,0.364,0.034,0.03718400393059439
synthetic_log_bc1,htc,200,369,2.62,16.772727272727273,0.08,0.364,0.054,0.07436383527869499
synthetic_log_bc1,efdt,50,503,3.58,12.268292682926829,0.25,0.364,0.037,0.04232734922670152
synthetic_log_bc1c2,htc,50,853,3.71,12.73134328358209,0.25,0.364,0.031,0.03566259556780509
synthetic_log_bc1c2,hatc,200,462,2.01,12.833333333333334,0.06,0.364,0.046,0.0555791721605377
synthetic_log_bc1c2,efdt,200,524,2.28,10.916666666666666,0.05,0.364,0.037,0.06639808933979505
synthetic_log_bc1c2,efdt,50,835,3.63,11.597222222222221,0.23,0.364,0.031,0.03893159339205457
synthetic_log_bc1c2,htc,200,549,2.38,15.685714285714285,0.08,0.364,0.046,0.06716282313701433
synthetic_log_bc1c2,hatc,50,807,3.51,10.76,0.22,0.364,0.03,0.034731393841936714
synthetic_log_bc2,htc,50,519,2.25,9.79245283018868,0.2,0.364,0.033,0.037427827924210684
synthetic_log_bc2,htc,200,311,1.35,14.136363636363637,0.07,0.364,0.054,0.06506071985557932
synthetic_log_bc2,hatc,50,522,2.27,9.666666666666666,0.19,0.364,0.03,0.035482782845257826
synthetic_log_bc2,hatc,200,311,1.35,11.107142857142858,0.06,0.364,0.044,0.05512866784720812
synthetic_log_bc2,efdt,50,484,2.1,10.755555555555556,0.22,0.364,0.034,0.040143247704666304
synthetic_log_bc2,efdt,200,376,1.63,11.393939393939394,0.06,0.364,0.042,0.06838439170437326
