Dataset,Classifier,Window size,Frequency of drop,Average recovery speed,Normalized recovery speed,Max performance drop,Average performance drop,Stability of performance
bpic15,efdt,50,76.2,15.69,0.31,0.44,0.02,0.02
bpic15,hatc,200,47.1,42.0,0.21,0.44,0.07,0.05
bpic15,htc,200,46.9,13.21,0.07,0.44,0.07,0.04
bpic15,hatc,50,69.1,18.5,0.37,0.44,0.02,0.02
bpic15,htc,50,50.8,9.07,0.18,0.44,0.02,0.02
bpic15,efdt,200,70.6,63.0,0.32,0.44,0.06,0.05
bpic17,hatc,50,297.7,12.45,0.25,0.66,0.05,0.07
bpic17,efdt,200,205.4,16.84,0.08,0.66,0.07,0.12
bpic17,hatc,200,177.6,16.55,0.08,0.66,0.09,0.12
bpic17,htc,200,174.7,9.68,0.05,0.66,0.07,0.11
bpic17,efdt,50,298.1,11.11,0.22,0.66,0.05,0.08
bpic17,htc,50,253.7,8.12,0.16,0.66,0.06,0.08
synthetic_log_b,efdt,50,87.7,11.15,0.22,0.94,0.04,0.08
synthetic_log_b,efdt,200,36.9,10.17,0.05,0.94,0.06,0.14
synthetic_log_b,hatc,50,67.2,3.58,0.07,0.94,0.04,0.08
synthetic_log_b,htc,50,66.6,3.44,0.07,0.94,0.03,0.08
synthetic_log_b,htc,200,35.1,9.67,0.05,0.94,0.06,0.13
synthetic_log_b,hatc,200,41.8,11.5,0.06,0.94,0.06,0.13
synthetic_log_bc1,htc,50,78.7,4.29,0.09,0.94,0.03,0.06
synthetic_log_bc1,efdt,200,67.2,12.21,0.06,0.94,0.04,0.09
synthetic_log_bc1,hatc,200,58.7,6.74,0.03,0.94,0.04,0.09
synthetic_log_bc1,hatc,50,82.8,6.81,0.14,0.94,0.04,0.06
synthetic_log_bc1,htc,200,51.6,5.92,0.03,0.94,0.05,0.08
synthetic_log_bc1,efdt,50,101.1,9.0,0.18,0.94,0.03,0.05
synthetic_log_bc1c2,htc,50,82.1,5.21,0.1,0.94,0.04,0.05
synthetic_log_bc1c2,hatc,200,71.4,9.96,0.05,0.94,0.04,0.09
synthetic_log_bc1c2,efdt,200,69.8,11.53,0.06,0.94,0.06,0.09
synthetic_log_bc1c2,efdt,50,104.1,9.14,0.18,0.94,0.03,0.05
synthetic_log_bc1c2,htc,200,53.0,6.18,0.03,0.94,0.05,0.08
synthetic_log_bc1c2,hatc,50,90.2,6.75,0.13,0.94,0.04,0.06
synthetic_log_bc2,htc,50,55.7,5.5,0.11,0.94,0.04,0.06
synthetic_log_bc2,htc,200,38.4,8.53,0.04,0.94,0.04,0.1
synthetic_log_bc2,hatc,50,60.8,8.31,0.17,0.94,0.04,0.06
synthetic_log_bc2,hatc,200,41.5,10.54,0.05,0.94,0.05,0.1
synthetic_log_bc2,efdt,50,59.6,7.71,0.15,0.94,0.03,0.05
synthetic_log_bc2,efdt,200,41.2,7.32,0.04,0.94,0.03,0.08
