Dataset,Classifier,Window size,Frequency of drop,Average recovery speed,Normalized recovery speed,Max performance drop,Average performance drop,Stability of performance
BPIC 2015_1,efdt,50,0.29,33.12,0.66,0.03,0.01,0.01
BPIC 2015_1,hatc,200,0.24,110.5,0.55,0.08,0.03,0.02
BPIC 2015_1,htc,200,0.38,87.25,0.44,0.07,0.03,0.02
BPIC 2015_1,hatc,50,0.23,24.22,0.48,0.03,0.01,0.01
BPIC 2015_1,htc,50,0.36,41.5,0.83,0.03,0.01,0.01
BPIC 2015_1,efdt,200,0.34,52.83,0.26,0.06,0.02,0.02
BPIC 2017,hatc,50,0.29,15.86,0.32,0.1,0.03,0.04
BPIC 2017,efdt,200,0.19,12.88,0.06,0.16,0.06,0.07
BPIC 2017,hatc,200,0.19,16.69,0.08,0.16,0.05,0.07
BPIC 2017,htc,200,0.23,21.0,0.1,0.23,0.07,0.1
BPIC 2017,efdt,50,0.27,13.12,0.26,0.1,0.03,0.04
BPIC 2017,htc,50,0.31,18.0,0.36,0.11,0.04,0.05
IRO5K Baseline,efdt,50,0.27,6.67,0.13,0.17,0.02,0.03
IRO5K Baseline,efdt,200,0.19,5.6,0.03,0.17,0.03,0.06
IRO5K Baseline,hatc,50,0.22,5.91,0.12,0.19,0.02,0.03
IRO5K Baseline,htc,50,0.21,5.64,0.11,0.19,0.02,0.04
IRO5K Baseline,htc,200,0.04,4.33,0.02,0.19,0.07,0.07
IRO5K Baseline,hatc,200,0.04,4.0,0.02,0.19,0.07,0.07
IRO5K Drift 1,htc,50,0.29,10.9,0.22,0.19,0.03,0.04
IRO5K Drift 1,efdt,200,0.13,6.73,0.03,0.17,0.03,0.04
IRO5K Drift 1,hatc,200,0.12,10.78,0.05,0.19,0.04,0.05
IRO5K Drift 1,hatc,50,0.34,10.62,0.21,0.19,0.02,0.03
IRO5K Drift 1,htc,200,0.18,13.9,0.07,0.19,0.08,0.07
IRO5K Drift 1,efdt,50,0.28,7.7,0.15,0.17,0.02,0.03
IRO5K Drift 2,htc,50,0.28,7.72,0.15,0.19,0.02,0.03
IRO5K Drift 2,htc,200,0.2,15.7,0.08,0.19,0.03,0.06
IRO5K Drift 2,hatc,50,0.27,8.19,0.16,0.19,0.02,0.03
IRO5K Drift 2,hatc,200,0.17,12.09,0.06,0.19,0.04,0.05
IRO5K Drift 2,efdt,50,0.28,7.33,0.15,0.17,0.02,0.03
IRO5K Drift 2,efdt,200,0.23,9.3,0.05,0.17,0.03,0.05
IRO5K Drift 3,htc,50,0.3,11.5,0.23,0.19,0.03,0.04
IRO5K Drift 3,hatc,200,0.15,11.59,0.06,0.18,0.04,0.05
IRO5K Drift 3,efdt,200,0.2,12.57,0.06,0.17,0.03,0.05
IRO5K Drift 3,efdt,50,0.31,9.93,0.2,0.17,0.02,0.03
IRO5K Drift 3,htc,200,0.18,15.87,0.08,0.19,0.06,0.07
IRO5K Drift 3,hatc,50,0.32,10.51,0.21,0.18,0.02,0.03
