Dataset,Classifier,Window size,Frequency of drop,Average recovery speed,Normalized recovery speed,Max performance drop,Average performance drop,Stability of performance
BPIC 2015_1,efdt,50,0.3,12.95,0.26,0.1,0.02,0.01
BPIC 2015_1,hatc,200,0.24,44.6,0.22,0.3,0.09,0.05
BPIC 2015_1,htc,200,0.51,118.25,0.59,0.22,0.04,0.04
BPIC 2015_1,hatc,50,0.27,33.0,0.66,0.25,0.02,0.01
BPIC 2015_1,htc,50,0.42,48.5,0.97,0.21,0.01,0.01
BPIC 2015_1,efdt,200,0.41,76.6,0.38,0.17,0.05,0.04
BPIC 2017,hatc,50,0.24,8.33,0.17,0.15,0.03,0.04
BPIC 2017,efdt,200,0.13,15.7,0.08,0.15,0.05,0.07
BPIC 2017,hatc,200,0.15,10.93,0.05,0.16,0.04,0.07
BPIC 2017,htc,200,0.19,17.15,0.09,0.15,0.03,0.07
BPIC 2017,efdt,50,0.24,18.73,0.37,0.15,0.04,0.05
BPIC 2017,htc,50,0.25,13.05,0.26,0.15,0.02,0.04
IRO5K Baseline,efdt,50,0.42,8.71,0.17,0.17,0.02,0.03
IRO5K Baseline,efdt,200,0.34,3.25,0.02,0.17,0.05,0.07
IRO5K Baseline,hatc,50,0.28,8.2,0.16,0.18,0.02,0.04
IRO5K Baseline,htc,50,0.33,8.73,0.17,0.18,0.02,0.04
IRO5K Baseline,htc,200,0.05,14.0,0.07,0.18,0.08,0.1
IRO5K Baseline,hatc,200,0.04,6.5,0.03,0.18,0.09,0.1
IRO5K Drift 1,htc,50,0.34,8.69,0.17,0.18,0.01,0.02
IRO5K Drift 1,efdt,200,0.16,14.44,0.07,0.17,0.03,0.05
IRO5K Drift 1,hatc,200,0.07,6.11,0.03,0.18,0.03,0.05
IRO5K Drift 1,hatc,50,0.24,8.77,0.18,0.18,0.01,0.02
IRO5K Drift 1,htc,200,0.13,11.0,0.06,0.18,0.03,0.05
IRO5K Drift 1,efdt,50,0.27,7.78,0.16,0.17,0.02,0.03
IRO5K Drift 2,htc,50,0.32,8.83,0.18,0.18,0.02,0.03
IRO5K Drift 2,htc,200,0.13,52.5,0.26,0.18,0.04,0.06
IRO5K Drift 2,hatc,50,0.26,10.4,0.21,0.17,0.03,0.03
IRO5K Drift 2,hatc,200,0.09,18.75,0.09,0.17,0.04,0.07
IRO5K Drift 2,efdt,50,0.31,9.15,0.18,0.17,0.02,0.03
IRO5K Drift 2,efdt,200,0.37,15.53,0.08,0.17,0.03,0.05
IRO5K Drift 3,htc,50,0.33,9.98,0.2,0.18,0.01,0.02
IRO5K Drift 3,hatc,200,0.18,15.13,0.08,0.18,0.03,0.06
IRO5K Drift 3,efdt,200,0.27,22.93,0.11,0.18,0.05,0.05
IRO5K Drift 3,efdt,50,0.33,11.08,0.22,0.17,0.02,0.03
IRO5K Drift 3,htc,200,0.21,13.35,0.07,0.18,0.02,0.04
IRO5K Drift 3,hatc,50,0.3,10.13,0.2,0.18,0.02,0.03
