Dataset,Classifier,Window size,Frequency of drop,Average recovery speed,Normalized recovery speed,Max performance drop,Average performance drop,Stability of performance
bpic15,efdt,50,0.29,44.83,0.9,0.03,0.01,0.01
bpic15,hatc,200,0.27,82.67,0.41,0.07,0.03,0.02
bpic15,htc,200,0.36,111.67,0.56,0.09,0.03,0.02
bpic15,hatc,50,0.29,24.64,0.49,0.03,0.01,0.01
bpic15,htc,50,0.34,45.0,0.9,0.04,0.01,0.01
bpic15,efdt,200,0.33,75.75,0.38,0.06,0.02,0.02
bpic17,hatc,50,0.24,12.64,0.25,0.12,0.03,0.04
bpic17,efdt,200,0.23,24.82,0.12,0.17,0.06,0.08
bpic17,hatc,200,0.16,15.17,0.08,0.17,0.06,0.08
bpic17,htc,200,0.24,22.83,0.11,0.25,0.08,0.12
bpic17,efdt,50,0.29,15.14,0.3,0.12,0.03,0.05
bpic17,htc,50,0.3,18.53,0.37,0.12,0.05,0.06
synthetic_log_b,efdt,50,0.3,6.36,0.13,0.2,0.02,0.03
synthetic_log_b,efdt,200,0.24,4.8,0.02,0.2,0.02,0.06
synthetic_log_b,hatc,50,0.22,5.82,0.12,0.22,0.03,0.04
synthetic_log_b,htc,50,0.25,6.08,0.12,0.23,0.03,0.04
synthetic_log_b,htc,200,0.05,3.0,0.02,0.23,0.07,0.09
synthetic_log_b,hatc,200,0.05,3.0,0.02,0.22,0.07,0.09
synthetic_log_bc1,htc,50,0.31,11.75,0.24,0.23,0.03,0.04
synthetic_log_bc1,efdt,200,0.15,6.42,0.03,0.2,0.02,0.04
synthetic_log_bc1,hatc,200,0.16,15.75,0.08,0.23,0.04,0.07
synthetic_log_bc1,hatc,50,0.29,7.79,0.16,0.23,0.03,0.04
synthetic_log_bc1,htc,200,0.15,13.33,0.07,0.23,0.05,0.08
synthetic_log_bc1,efdt,50,0.26,8.57,0.17,0.2,0.02,0.03
synthetic_log_bc1c2,htc,50,0.31,12.66,0.25,0.23,0.03,0.04
synthetic_log_bc1c2,hatc,200,0.13,7.26,0.04,0.23,0.05,0.07
synthetic_log_bc1c2,efdt,200,0.23,10.79,0.05,0.2,0.04,0.06
synthetic_log_bc1c2,efdt,50,0.31,10.89,0.22,0.2,0.02,0.04
synthetic_log_bc1c2,htc,200,0.17,13.69,0.07,0.23,0.05,0.07
synthetic_log_bc1c2,hatc,50,0.3,10.32,0.21,0.23,0.03,0.04
synthetic_log_bc2,htc,50,0.27,7.48,0.15,0.23,0.03,0.04
synthetic_log_bc2,htc,200,0.14,7.2,0.04,0.23,0.05,0.07
synthetic_log_bc2,hatc,50,0.26,8.54,0.17,0.23,0.03,0.04
synthetic_log_bc2,hatc,200,0.16,17.57,0.09,0.23,0.07,0.07
synthetic_log_bc2,efdt,50,0.3,7.8,0.16,0.2,0.02,0.03
synthetic_log_bc2,efdt,200,0.3,11.24,0.06,0.2,0.03,0.05
