Datalabel,Classifier,Counter,Results
synthetic_log_b,htc,200,0.9882830084226222
synthetic_log_b,hatc,200,0.9881767739976494
synthetic_log_b,efdt,200,0.9878678895743817
synthetic_log_bc1,htc,200,0.991332073353244
synthetic_log_bc1,hatc,200,0.9914168730579028
synthetic_log_bc1,efdt,200,0.9909242035483142
synthetic_log_bc2,htc,200,0.9909142588445204
synthetic_log_bc2,hatc,200,0.9909189205165253
synthetic_log_bc2,efdt,200,0.9906739739799029
synthetic_log_bc1c2,htc,200,0.9917861682418704
synthetic_log_bc1c2,hatc,200,0.9917410927784236
synthetic_log_bc1c2,efdt,200,0.9914488925776044
bpic17,htc,200,0.9928324234866003
bpic17,hatc,200,0.9928685612302558
bpic17,efdt,200,0.992721225035292
bpic15,htc,200,0.9992158111285266
bpic15,hatc,200,0.9991153996865204
bpic15,efdt,200,0.9991291144200627
